,CD20,CD3,CD4,CD44,CD45,CD68,CK14,CK19,Ecad,ER,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene11_cell2985,0.7165867,0.6271079,0.82079417,0.62843144,0.91505766,0.65572286,0.7548701,0.9720287,1.0052339,0.48239258,0.75673974,0.23698372,0.40004978,JE-TMA-41
JE-TMA-41_scene11_cell1383,0.45218998,0.3397062,0.5158827,0.5755938,0.61625504,0.3236876,0.53232014,0.7162638,0.48945454,0.4963594,0.80319583,0.15773833,0.18767364,JE-TMA-41
JE-TMA-41_scene11_cell2180,0.30148616,0.23723269,0.36096007,0.59630567,0.54174256,0.25639206,0.58345824,0.2627311,0.35451737,0.3535518,0.40322438,0.34954748,0.21008097,JE-TMA-41
JE-TMA-41_scene11_cell1284,0.62282974,0.64041704,0.6586327,2.680355,0.64683986,2.4684947,1.6701922,0.3966495,23.405825,0.4686081,0.6311582,0.17384458,0.32362115,JE-TMA-41
JE-TMA-41_scene11_cell3190,0.83828187,0.690827,1.195864,1.0613894,0.87868834,0.7445165,0.83068013,1.3015076,0.8068213,0.4529003,0.9345102,0.6985187,0.5198901,JE-TMA-41
JE-TMA-41_scene11_cell1132,0.6255934,0.5075991,0.52976245,0.4505367,0.69704235,0.6305854,0.52220756,0.39857638,1.0332263,0.28076214,0.88708466,0.5164629,0.30284044,JE-TMA-41
JE-TMA-41_scene11_cell2206,0.3883989,0.5684686,0.63288575,0.97264266,0.645031,0.5409078,0.8106947,0.6021969,0.5125062,1.309111,0.37186274,0.14962232,0.12150321,JE-TMA-41
JE-TMA-41_scene11_cell1518,0.42325008,0.30443907,0.3528226,0.35913566,0.43807504,0.14621225,0.6012116,0.1912151,0.28223407,0.29771426,0.38235676,0.2871053,0.3328011,JE-TMA-41
JE-TMA-41_scene11_cell2487,0.86794776,0.4928612,0.8993496,0.2791459,0.62675893,0.79867303,0.77211666,0.3213343,0.5582302,1.0565252,0.7350845,0.27595964,0.4579465,JE-TMA-41
JE-TMA-41_scene11_cell1443,1.2198718,0.9131612,1.0457178,0.48947728,0.9048214,1.1541888,0.9207498,0.73071074,1.0054827,0.6288726,1.0462072,0.4532793,0.49500194,JE-TMA-41
JE-TMA-41_scene11_cell2753,0.75056714,0.45617694,0.6976824,0.26478314,0.5969366,0.5938965,0.71831876,0.36138594,0.41596118,0.79086256,0.587919,0.28303003,0.28275555,JE-TMA-41
JE-TMA-41_scene11_cell2927,0.5939169,0.46364105,0.64853156,0.47359225,0.72961557,0.83482134,1.0134495,1.1314536,0.56825507,0.27750152,0.52338535,0.2483806,0.15876515,JE-TMA-41
JE-TMA-41_scene11_cell3103,0.35506752,0.29915264,0.35242808,0.6752464,0.52355015,0.32098946,0.5118033,0.3969394,0.4597714,0.1709724,0.5067428,0.123706475,0.39604294,JE-TMA-41
JE-TMA-41_scene11_cell2218,0.58542,0.5338154,0.8640087,0.5650485,0.77407753,0.7747689,0.41082853,0.42306256,0.9988453,0.40102884,0.6597528,0.17644931,0.34532684,JE-TMA-41
JE-TMA-41_scene11_cell2338,0.4080766,0.27413154,0.5068628,0.1371495,0.5891115,0.27351394,0.9571948,0.36063343,0.33935514,0.35369164,0.4881183,0.14473556,0.18282226,JE-TMA-41
JE-TMA-41_scene11_cell1567,0.39852569,0.32550564,0.46236458,0.60681605,0.49651086,0.461866,0.5217353,0.15754485,0.5854286,0.24279206,0.536297,0.15041283,0.31051818,JE-TMA-41
JE-TMA-41_scene11_cell3187,0.61259305,0.67530584,0.83827037,0.33334228,0.77819353,0.39800647,1.0382274,1.3664567,0.5756173,0.7063719,0.8419742,0.6061954,0.56769294,JE-TMA-41
