,CD20_Ring,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,LamAC_Nuclei,PCNA_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-17_scene049_cell00773,3506.9734,555.883,1560.2554,3320.25,1287.6543,3160.968,278.7447,643.09045,381.96277,366.54254,1609.3163,1103.4415,1628.7979,348.1246,1325.8307,2056.6357,1242.0798,1830.6437,1162.5691,1546.1182,BM-Her2N75-17
BM-Her2N75-17_scene049_cell04514,5902.1396,744.55817,2061.6511,2467.7441,571.02325,3114.9768,852.093,5185.0933,1700.3721,2557.0698,1776.1715,2124.2559,1502.093,361.96378,5024.5845,2368.413,1446.4651,2303.0,1933.814,1515.8914,BM-Her2N75-17
BM-Her2N75-17_scene049_cell05965,4308.136,449.31223,1782.0486,1972.9589,423.43567,2151.6624,352.058,3191.2986,418.365,4499.903,3972.6843,2373.2332,2305.075,477.96936,1593.1411,2571.3901,1293.3934,974.98627,1277.5623,939.43677,BM-Her2N75-17
BM-Her2N75-17_scene049_cell00792,4155.659,537.74243,2161.7954,2103.0227,426.25757,2512.3257,252.83333,651.8409,357.11365,338.1894,1608.8625,1129.75,2579.5605,338.0625,1112.3875,1786.1562,1951.2727,1540.8182,1264.5682,1249.6,BM-Her2N75-17
BM-Her2N75-17_scene049_cell04082,3654.9746,512.1878,1698.2385,2045.4543,452.4188,1988.3452,331.70813,6421.368,468.82742,9865.122,3100.7825,3718.2969,3437.4314,2475.1575,2019.1909,3004.4165,1337.7563,1292.2157,1290.7766,912.9613,BM-Her2N75-17
BM-Her2N75-17_scene049_cell06444,2830.9524,459.2381,2069.6558,1928.7949,418.663,1628.6593,304.8095,4067.1758,429.56778,5587.0513,4124.049,4862.9814,3298.641,551.6187,3226.8054,3288.7932,1273.0,929.8132,1274.0806,1137.19,BM-Her2N75-17
BM-Her2N75-17_scene049_cell04463,4635.1494,526.7241,1821.8391,2199.3735,487.5747,2414.546,377.28162,4573.5806,492.37357,7340.983,2350.7568,3993.5173,3189.615,503.3056,2146.2725,2332.7234,1412.2644,2892.253,1581.6437,1309.8877,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03793,4671.7305,512.5229,1789.6765,2184.9138,513.5822,2562.4797,355.02695,3677.523,461.45822,4557.539,6497.119,2938.9568,2415.485,456.6629,2348.422,2349.711,1354.3773,1195.7844,1420.7089,1078.4929,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03587,2713.8333,521.50696,1467.0486,3314.2986,714.1042,2062.7222,257.5,627.2986,354.71527,391.38196,1624.8428,1056.1389,1960.875,325.96857,1016.3774,1468.7861,1219.2709,2410.0903,1006.2153,721.673,BM-Her2N75-17
BM-Her2N75-17_scene049_cell04369,3143.6904,476.7305,1807.8107,1945.3118,441.56793,1950.8798,303.93988,2821.793,483.81516,3834.7883,2447.9016,1720.9198,1425.657,635.9066,3017.269,1949.8568,1359.4054,946.2628,1111.3274,904.2416,BM-Her2N75-17
