,CD44_Ring,CD45_Ring,CD4_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-18_scene059_cell03908,0.059742436,0.36832023,0.7151753,0.012523143,-0.5485184,0.013097948,-0.3483535,-0.34271523,-0.14900008,-0.4168486,0.09889117,0.55763197,-0.08570468,0.084283635,BM-Her2N75-18
BM-Her2N75-18_scene059_cell00307,-0.3613919,0.07246494,-0.099068955,0.13453546,1.0362866,0.124053426,1.9131235,-0.2268302,1.5606614,-0.30270806,0.077041596,-0.441766,-0.11848574,0.07933937,BM-Her2N75-18
BM-Her2N75-18_scene059_cell05786,0.32875162,0.0063814516,0.018399697,-0.05506262,-0.5398454,-0.0012987187,-0.35914695,-0.38303053,-0.095898554,-0.40587178,-0.0009559719,3.1153295,0.15495491,-0.04039289,BM-Her2N75-18
BM-Her2N75-18_scene059_cell02467,0.21315388,1.0936522,2.1824682,-0.031052502,-0.49120295,0.17650896,-0.34029225,-0.39025667,-0.119508654,-0.23110762,1.1965436,-0.17959534,0.36396074,-0.21609385,BM-Her2N75-18
BM-Her2N75-18_scene059_cell02297,-0.35288832,-0.021161854,-0.07790406,0.11356357,1.6682956,0.105981655,2.1507356,-0.3251976,1.2208916,-0.32172123,-0.031386945,-0.49544334,-0.10256087,-0.025727825,BM-Her2N75-18
BM-Her2N75-18_scene059_cell00402,2.3759546,1.4417651,2.9873724,0.04260245,-0.5435654,0.21283019,-0.3636201,-0.33582962,-0.11210059,-0.39523405,0.24800995,0.5943707,0.04925281,0.096941516,BM-Her2N75-18
BM-Her2N75-18_scene059_cell00582,-0.26097727,0.32364392,0.015291374,0.60902977,1.0857431,0.3052143,2.1921372,-0.10572269,0.3758717,-0.006523334,0.33916405,0.11798734,0.513631,-0.051016584,BM-Her2N75-18
BM-Her2N75-18_scene059_cell02235,-0.031990662,0.09703082,0.43159494,-0.005824478,-0.49727538,0.005102105,-0.33553034,-0.37921247,-0.11422807,-0.29137853,-0.0005441634,0.50379,0.07999665,-0.11731072,BM-Her2N75-18
BM-Her2N75-18_scene059_cell03977,-0.09788032,-0.13576522,-0.0590203,-0.24067473,-0.5656085,-0.16393921,-0.35962212,-0.40830407,-0.16122851,-0.47640735,-0.10455176,-0.5088662,-0.27884164,-0.18812095,BM-Her2N75-18
BM-Her2N75-18_scene059_cell02780,0.8711702,0.8650859,-0.05269559,-0.09856877,-0.53347,-0.0132720405,-0.35064915,-0.3526262,-0.13471574,-0.3806841,-0.011724743,0.44225776,-0.03323513,-0.10527803,BM-Her2N75-18
BM-Her2N75-18_scene059_cell01078,-0.04409577,-0.11309147,-0.31489298,0.00013825137,-0.52795655,-0.022508018,-0.3448624,-0.3961744,-0.12949863,-0.3694667,0.0056292685,0.9419482,0.54698086,-0.20130874,BM-Her2N75-18
BM-Her2N75-18_scene059_cell04188,0.31335992,0.14546525,0.6138694,1.2319095,-0.5433495,1.0156659,-0.2885268,-0.18314894,0.03669761,-0.098715685,0.39125374,0.7447196,1.2093613,0.3032966,BM-Her2N75-18
BM-Her2N75-18_scene059_cell05761,0.7251585,1.0919714,3.257579,-0.21478859,-0.53698415,-0.02292233,-0.36727905,-0.36618114,-0.13331026,-0.4245495,-0.024368675,-0.08345669,-0.15977758,-0.43951577,BM-Her2N75-18
BM-Her2N75-18_scene059_cell03642,0.9987915,0.05850786,0.6878716,0.050165623,-0.5375073,0.04720635,-0.35036406,-0.34978974,-0.12809359,-0.3622776,0.016052512,0.7297902,0.17377347,-0.061824337,BM-Her2N75-18
BM-Her2N75-18_scene059_cell00953,-0.38813415,-0.05905038,-0.2349586,0.040388674,0.9813694,0.053021498,2.0898314,-0.3704694,0.4023882,-0.30390283,-0.015175375,-0.49856704,-0.14658248,-0.14569677,BM-Her2N75-18
BM-Her2N75-18_scene059_cell02331,0.7223025,0.08871496,0.759828,-0.001855822,-0.515935,-0.050568424,-0.3469466,-0.36879373,-0.13643563,-0.34808323,0.03185978,1.8875592,0.14154786,-0.20560615,BM-Her2N75-18
BM-Her2N75-18_scene059_cell04547,0.8165994,-0.0019044878,0.11218797,-0.19589296,-0.5523447,-0.067669384,-0.3604466,-0.40472972,-0.13221149,-0.040004514,-0.07380411,0.8090737,-0.05101162,-0.1355334,BM-Her2N75-18
BM-Her2N75-18_scene059_cell01136,-0.47762,-0.23471144,-0.42376834,-0.31457138,-0.07465186,-0.15535492,-0.35667348,-0.42548928,0.0054450487,-0.4218471,-0.099319786,-0.5934286,-0.29150158,-0.17952664,BM-Her2N75-18
BM-Her2N75-18_scene059_cell02152,-0.35678202,0.11280036,0.022540372,0.07429752,0.9546201,0.020821996,0.61252373,-0.29131854,0.30085948,-0.33597025,-0.059950802,-0.5611659,-0.11786913,-0.25805578,BM-Her2N75-18
BM-Her2N75-18_scene059_cell01434,-0.027817084,-0.1328688,-0.3043358,0.0240297,-0.50674736,0.011961765,-0.32941005,-0.39201674,-0.13914451,-0.33616176,-0.015729817,0.41975546,2.1667597,-0.11747505,BM-Her2N75-18
BM-Her2N75-18_scene059_cell03705,-0.10182841,-0.11760348,-0.19533958,-0.09104648,-0.5414054,-0.081490956,-0.352552,-0.37758672,-0.1447533,-0.44716924,0.0031336816,1.2625155,-0.016235169,0.052535042,BM-Her2N75-18
BM-Her2N75-18_scene059_cell03286,-0.22560723,-0.15036628,-0.24930938,-0.17610589,-0.5232294,-0.087633274,-0.35422102,-0.40813097,-0.10741292,-0.37793693,-0.10033116,-0.08349674,0.3522327,-0.20818882,BM-Her2N75-18
BM-Her2N75-18_scene059_cell02129,-0.21817632,-0.1949963,-0.33922228,-0.21676096,-0.5289707,-0.13412982,-0.3558303,-0.4588755,-0.11100708,-0.47101456,-0.16933438,-0.5382617,-0.1978927,-0.33453545,BM-Her2N75-18
