,CD20_perinuc5,CD3_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CK14_cytoplasm,CK19_cytoplasm,Ecad_cytoplasm,ER_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-43_scene07_cell5411,0.23032579455847435,0.5867349453719265,0.6391933435425604,0.356369469689912,0.8652790793702646,0.7998613455875442,1.2596281157462466,0.09603040042412804,0.5270706725328361,0.5324850946694525,0.9260655630300726,0.07960049488973829,0.47839726495765134,JE-TMA-43
JE-TMA-43_scene07_cell1787,0.47434884248664083,0.1674539285669488,0.5985160487328363,1.0647346825746604,0.5614740572425551,0.9046654702317676,1.0052320547361104,0.1827102572707876,0.4538658266073875,0.5895643049648824,0.5688118705632095,0.17102048309727058,0.6329543799947644,JE-TMA-43
JE-TMA-43_scene07_cell4396,1.1782240483649093,0.2772625503493829,0.2739865294084989,0.2638304792686315,1.4637388198648174,0.6876926683417597,0.004271693792837529,0.04174729812485822,0.06800662194954189,0.8422251790195402,0.8651862165806137,0.3856744123272681,0.38806082767604055,JE-TMA-43
JE-TMA-43_scene07_cell4860,0.6936248328676298,0.3669446552771963,0.23626866591542378,0.20629142726728839,0.7817464320125256,0.10765632658113232,0.033523675206902366,0.023442246888665027,0.030467781657513147,0.639994154296042,0.14784842031446668,0.41460787892877676,0.3738709032177806,JE-TMA-43
JE-TMA-43_scene07_cell3800,0.9733512528142088,0.5299453764976121,0.4628304904179818,0.7982586783224629,1.5079822094947886,0.215701522422591,0.023892287362117504,0.024307856237474598,0.0427276477949844,0.39596034966587296,0.26391361583112316,0.09732279538571642,0.5707751619085037,JE-TMA-43
JE-TMA-43_scene07_cell1984,0.8814632901159088,0.24112075754623796,0.18435614062396416,0.8591550907928601,0.9468606425422479,0.3391898654068619,0.06021915221263701,0.0399322538098615,0.05106030128466489,0.5313932106502606,0.21073949615971077,0.11019167630288179,0.5124014556995877,JE-TMA-43
JE-TMA-43_scene07_cell2956,0.46185705630569873,0.2896772451162863,0.26955470724797603,0.24490062825787148,0.7967170547562337,0.14326196778774375,0.01574550231015741,0.026542690937917102,0.04325287383873775,0.46469069916831024,0.28422725528650267,0.2901309860651358,0.3248636505527639,JE-TMA-43
JE-TMA-43_scene07_cell4325,0.8014264407708992,0.7953211568914238,1.3751742086607224,0.35782159265642227,1.3985202580839506,0.24346827273929605,0.015161084731342636,0.03587633607985635,0.06752964626105684,0.5776281059059097,0.302621209936246,0.9565042940701981,0.6070195389808396,JE-TMA-43
JE-TMA-43_scene07_cell3979,0.6347665170384802,0.8923721459159019,0.9199617467294238,0.34891280245479567,1.5744883365538769,0.23940170314150977,0.01769582325595197,0.07104513046292558,0.07746294761239371,0.45474410139804655,0.3329205272407642,0.3050816724123556,0.5774958214641372,JE-TMA-43
JE-TMA-43_scene07_cell4673,0.8272807747358493,0.28984243369083995,0.2340450982023299,0.07584451191966068,0.8219678299717681,0.06063684648409451,0.02076292784219424,0.026043297680572442,0.03459508283127645,0.5652856834571878,0.18209437051083338,0.3973861554650602,0.4222913157089148,JE-TMA-43
JE-TMA-43_scene07_cell4718,1.9422557847375415,0.2824285217262482,0.19284595582381625,0.16606784893538204,2.151434853517759,0.15537052210576183,0.010381113352019465,0.03358755412014599,0.10492220457641208,0.5665829972499952,0.3086692129140405,0.30480306074639635,0.37783121240793616,JE-TMA-43
JE-TMA-43_scene07_cell170,0.042509590307056595,0.15237562839196966,0.09742638326147349,0.2963241224871203,0.27256088316108534,0.14224386163994446,1.847347672883782,0.3029480948422199,1.7352212129629816,0.913050537595269,2.065047457816326,0.44493684425675234,1.502643462483628,JE-TMA-43
