,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-07_c3_ORG.tif,R1,c3,ORG,JE-TMA-42-Scene-07,CK14,JE-TMA-42,40.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-07_c4_ORG.tif,R1,c4,ORG,JE-TMA-42-Scene-07,Ki67,JE-TMA-42,450.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-07_c5_ORG.tif,R1,c5,ORG,JE-TMA-42-Scene-07,CK19,JE-TMA-42,120.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-08_c1_ORG.tif,R1,c1,ORG,JE-TMA-42-Scene-08,DAPI,JE-TMA-42,10.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-08_c2_ORG.tif,R1,c2,ORG,JE-TMA-42-Scene-08,R1c2,JE-TMA-42,50.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-08_c3_ORG.tif,R1,c3,ORG,JE-TMA-42-Scene-08,CK14,JE-TMA-42,40.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-08_c4_ORG.tif,R1,c4,ORG,JE-TMA-42-Scene-08,Ki67,JE-TMA-42,450.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-08_c5_ORG.tif,R1,c5,ORG,JE-TMA-42-Scene-08,CK19,JE-TMA-42,120.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-09_c1_ORG.tif,R1,c1,ORG,JE-TMA-42-Scene-09,DAPI,JE-TMA-42,10.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-09_c2_ORG.tif,R1,c2,ORG,JE-TMA-42-Scene-09,R1c2,JE-TMA-42,50.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-09_c3_ORG.tif,R1,c3,ORG,JE-TMA-42-Scene-09,CK14,JE-TMA-42,40.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-09_c4_ORG.tif,R1,c4,ORG,JE-TMA-42-Scene-09,Ki67,JE-TMA-42,450.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-09_c5_ORG.tif,R1,c5,ORG,JE-TMA-42-Scene-09,CK19,JE-TMA-42,120.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-10_c1_ORG.tif,R1,c1,ORG,JE-TMA-42-Scene-10,DAPI,JE-TMA-42,10.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-10_c2_ORG.tif,R1,c2,ORG,JE-TMA-42-Scene-10,R1c2,JE-TMA-42,50.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-10_c3_ORG.tif,R1,c3,ORG,JE-TMA-42-Scene-10,CK14,JE-TMA-42,40.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-10_c4_ORG.tif,R1,c4,ORG,JE-TMA-42-Scene-10,Ki67,JE-TMA-42,450.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-10_c5_ORG.tif,R1,c5,ORG,JE-TMA-42-Scene-10,CK19,JE-TMA-42,120.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-11_c1_ORG.tif,R1,c1,ORG,JE-TMA-42-Scene-11,DAPI,JE-TMA-42,10.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-11_c2_ORG.tif,R1,c2,ORG,JE-TMA-42-Scene-11,R1c2,JE-TMA-42,50.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-11_c3_ORG.tif,R1,c3,ORG,JE-TMA-42-Scene-11,CK14,JE-TMA-42,40.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-11_c4_ORG.tif,R1,c4,ORG,JE-TMA-42-Scene-11,Ki67,JE-TMA-42,450.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-11_c5_ORG.tif,R1,c5,ORG,JE-TMA-42-Scene-11,CK19,JE-TMA-42,120.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-12_c1_ORG.tif,R1,c1,ORG,JE-TMA-42-Scene-12,DAPI,JE-TMA-42,10.0,1.0
