,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R6_CK7.CD68.PD1.CD45_HER2B-K175-Scene-08_c3_ORG.tif,R6,c3,ORG,HER2B-K175-Scene-08,CD68,HER2B-K175,300.0,6.0
Registered-R6_CK7.CD68.PD1.CD45_HER2B-K175-Scene-08_c4_ORG.tif,R6,c4,ORG,HER2B-K175-Scene-08,PD1,HER2B-K175,800.0,6.0
Registered-R6_CK7.CD68.PD1.CD45_HER2B-K175-Scene-08_c5_ORG.tif,R6,c5,ORG,HER2B-K175-Scene-08,CD45,HER2B-K175,400.0,6.0
Registered-R7_Vim.CD8.CD4.PgR_HER2B-K175-Scene-02_c1_ORG.tif,R7,c1,ORG,HER2B-K175-Scene-02,DAPI,HER2B-K175,10.0,7.0
Registered-R7_Vim.CD8.CD4.PgR_HER2B-K175-Scene-02_c2_ORG.tif,R7,c2,ORG,HER2B-K175-Scene-02,Vim,HER2B-K175,20.0,7.0
Registered-R7_Vim.CD8.CD4.PgR_HER2B-K175-Scene-02_c3_ORG.tif,R7,c3,ORG,HER2B-K175-Scene-02,CD8,HER2B-K175,500.0,7.0
Registered-R7_Vim.CD8.CD4.PgR_HER2B-K175-Scene-02_c4_ORG.tif,R7,c4,ORG,HER2B-K175-Scene-02,CD4,HER2B-K175,250.0,7.0
Registered-R7_Vim.CD8.CD4.PgR_HER2B-K175-Scene-02_c5_ORG.tif,R7,c5,ORG,HER2B-K175-Scene-02,PgR,HER2B-K175,500.0,7.0
Registered-R7_Vim.CD8.CD4.PgR_HER2B-K175-Scene-06_c1_ORG.tif,R7,c1,ORG,HER2B-K175-Scene-06,DAPI,HER2B-K175,10.0,7.0
Registered-R7_Vim.CD8.CD4.PgR_HER2B-K175-Scene-06_c2_ORG.tif,R7,c2,ORG,HER2B-K175-Scene-06,Vim,HER2B-K175,20.0,7.0
Registered-R7_Vim.CD8.CD4.PgR_HER2B-K175-Scene-06_c3_ORG.tif,R7,c3,ORG,HER2B-K175-Scene-06,CD8,HER2B-K175,500.0,7.0
Registered-R7_Vim.CD8.CD4.PgR_HER2B-K175-Scene-06_c4_ORG.tif,R7,c4,ORG,HER2B-K175-Scene-06,CD4,HER2B-K175,250.0,7.0
Registered-R7_Vim.CD8.CD4.PgR_HER2B-K175-Scene-06_c5_ORG.tif,R7,c5,ORG,HER2B-K175-Scene-06,PgR,HER2B-K175,500.0,7.0
Registered-R7_Vim.CD8.CD4.PgR_HER2B-K175-Scene-08_c1_ORG.tif,R7,c1,ORG,HER2B-K175-Scene-08,DAPI,HER2B-K175,10.0,7.0
Registered-R7_Vim.CD8.CD4.PgR_HER2B-K175-Scene-08_c2_ORG.tif,R7,c2,ORG,HER2B-K175-Scene-08,Vim,HER2B-K175,20.0,7.0
Registered-R7_Vim.CD8.CD4.PgR_HER2B-K175-Scene-08_c3_ORG.tif,R7,c3,ORG,HER2B-K175-Scene-08,CD8,HER2B-K175,500.0,7.0
Registered-R7_Vim.CD8.CD4.PgR_HER2B-K175-Scene-08_c4_ORG.tif,R7,c4,ORG,HER2B-K175-Scene-08,CD4,HER2B-K175,250.0,7.0
Registered-R7_Vim.CD8.CD4.PgR_HER2B-K175-Scene-08_c5_ORG.tif,R7,c5,ORG,HER2B-K175-Scene-08,PgR,HER2B-K175,500.0,7.0
